baseline,sharpe,max_drawdown,turnover,steps
IVP,0.14142680289822437,-0.07966295502884968,0.011871226725763542,300
VT-EW (10% target),0.04735941085423339,-0.08031498191392461,0.0033444816053511705,300
"Momentum (12-1, top 30%)",-0.68802097533735,-0.15959117760080288,0.0033444816053511705,300
